Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 31.55)",32,0.237037037037037,15,17,0.53125,-1.511457504073897,0.7417337751473753,0.0847903819808622,W3_3-5天_鸡舍温度-平均_MEAN,380.29503646128273
"[31.55, 31.65)",11,0.0814814814814814,8,3,0.2727272727272727,-0.4054651081081644,0.0150172262262283,0.0018643994028415,W3_3-5天_鸡舍温度-平均_MEAN,317.8243695587521
"[31.65, 32.15)",46,0.3407407407407407,40,6,0.1304347826086956,0.5108256237659907,0.0756778701875541,0.0093582051561372,W3_3-5天_鸡舍温度-平均_MEAN,306.7446963132264
"[32.15, inf)",46,0.3407407407407407,45,1,0.0217391304347826,2.4203681286504293,0.9188434562469224,0.0931018829822248,W3_3-5天_鸡舍温度-平均_MEAN,293.2430842482099
,135,1.0,108,27,0.2,,1.7512723278080802,0.1891148695220657,W3_3-5天_鸡舍温度-平均_MEAN,320.4810899091363
"[-inf, 28.95)",10,0.074074074074074,5,5,0.5,-1.3862943611198906,0.1925408834888737,0.0223084209515923,W3_6-8天_鸡舍温度-平均_MEAN,388.1013095303765
"[28.95, 29.65)",34,0.2518518518518518,20,14,0.4117647058823529,-1.029619417181158,0.3432064723937194,0.0411008889492724,W3_6-8天_鸡舍温度-平均_MEAN,357.4907868023495
"[29.65, 29.85)",12,0.0888888888888888,9,3,0.25,-0.2876820724517809,0.0079911686792161,0.0009954657085599,W3_6-8天_鸡舍温度-平均_MEAN,323.2571367278916
"[29.85, 30.15)",22,0.1629629629629629,18,4,0.1818181818181818,0.1177830356563834,0.00218116732697,0.0002724884261857,W3_6-8天_鸡舍温度-平均_MEAN,300.22959974085217
"[30.15, inf)",57,0.4222222222222222,56,1,0.0175438596491228,2.6390573296152584,1.270657232777717,0.1245047649348082,W3_6-8天_鸡舍温度-平均_MEAN,293.7738676511632
,135,1.0,108,27,0.2,,1.816576924666496,0.1891820289704185,W3_6-8天_鸡舍温度-平均_MEAN,320.4810899091363
"[-inf, 26.45)",9,0.0666666666666666,4,5,0.5555555555555556,-1.6094379124341005,0.2384352462865333,0.0269539968548489,W3_12-14天_鸡舍温度-平均_MEAN,388.4187308981936
"[26.45, 27.65)",38,0.2814814814814815,29,9,0.2368421052631578,-0.2162231084696358,0.014014460734143,0.0017484029963321,W3_12-14天_鸡舍温度-平均_MEAN,333.1006160942936
"[27.65, 28.05)",59,0.437037037037037,48,11,0.1864406779661017,0.0870113769896296,0.0032226435922085,0.0004140961123926,W3_12-14天_鸡舍温度-平均_MEAN,299.69687798408626
"[28.05, inf)",29,0.2148148148148148,27,2,0.0689655172413793,1.2163953243244932,0.2139954737237534,0.0252134114954823,W3_12-14天_鸡舍温度-平均_MEAN,325.1461843794965
,135,1.0,108,27,0.2,,0.4696678243366384,0.054329907459056,W3_12-14天_鸡舍温度-平均_MEAN,320.48108990913624
"[-inf, 26.35)",14,0.1037037037037037,10,4,0.2857142857142857,-0.4700036292457356,0.0261113127358741,0.0032341999619305,W3_15-17天_鸡舍温度-平均_MEAN,330.8545846102281
"[26.35, 26.75)",43,0.3185185185185185,40,3,0.0697674418604651,1.203972804325936,0.3121410974178353,0.0368459550515143,W3_15-17天_鸡舍温度-平均_MEAN,300.3939109813092
"[26.75, 27.05)",42,0.3111111111111111,32,10,0.238095238095238,-0.2231435513142097,0.0165291519492007,0.0020618679875406,W3_15-17天_鸡舍温度-平均_MEAN,318.5891717906113
"[27.05, inf)",36,0.2666666666666666,26,10,0.2777777777777778,-0.4307829160924542,0.0558422298638366,0.0069268013718902,W3_15-17天_鸡舍温度-平均_MEAN,342.6472101607841
,135,1.0,108,27,0.2,,0.4106237919667468,0.0490688243728756,W3_15-17天_鸡舍温度-平均_MEAN,320.4810899091363
"[-inf, 25.85)",37,0.2740740740740741,34,3,0.081081081081081,1.0414538748281612,0.2121480115390699,0.0253814986188176,W3_18-20天_鸡舍温度-平均_MEAN,295.5738299960967
"[25.85, 26.05)",16,0.1185185185185185,15,1,0.0625,1.3217558399823195,0.1346232799981992,0.0157008624420801,W3_18-20天_鸡舍温度-平均_MEAN,276.7063832026691
"[26.05, 26.25)",19,0.1407407407407407,17,2,0.1052631578947368,0.7537718023763802,0.0628143168646983,0.007671032753185,W3_18-20天_鸡舍温度-平均_MEAN,300.52816136454123
"[26.25, inf)",63,0.4666666666666667,42,21,0.3333333333333333,-0.6931471805599453,0.2695572368844232,0.0330359238213272,W3_18-20天_鸡舍温度-平均_MEAN,352.24409890014005
,135,1.0,108,27,0.2,,0.6791428452863907,0.0817893176354099,W3_18-20天_鸡舍温度-平均_MEAN,320.48108990913624
"[-inf, 33.65)",34,0.2518518518518518,20,14,0.4117647058823529,-1.029619417181158,0.3432064723937194,0.0411008889492724,W3_0-2天_鸡舍温度-平均_MEAN,341.6268782120012
"[33.65, 33.75)",10,0.074074074074074,6,4,0.4,-0.9808292530117262,0.0908175234270116,0.0109179646742623,W3_0-2天_鸡舍温度-平均_MEAN,359.33786462522653
"[33.75, inf)",91,0.674074074074074,82,9,0.0989010989010989,0.8232003088081432,0.3506223537516166,0.0426307485148788,W3_0-2天_鸡舍温度-平均_MEAN,308.3104904645394
,135,1.0,108,27,0.2,,0.7846463495723477,0.0946496021384137,W3_0-2天_鸡舍温度-平均_MEAN,320.48108990913624
"[-inf, 28.55)",38,0.2814814814814815,30,8,0.2105263157894736,-0.064538521137571,0.0011951577988439,0.0001493688026705,W3_9-11天_鸡舍温度-平均_MEAN,338.4750109981154
"[28.55, 28.75)",14,0.1037037037037037,4,10,0.7142857142857143,-2.302585092994045,0.7675283643313484,0.0791411465799588,W3_9-11天_鸡舍温度-平均_MEAN,378.9389285156017
"[28.75, inf)",83,0.6148148148148148,74,9,0.108433734939759,0.7205461547480598,0.2535254988928359,0.0310224458609107,W3_9-11天_鸡舍温度-平均_MEAN,302.3825508504408
,135,1.0,108,27,0.2,,1.0222490210230282,0.1103129612435401,W3_9-11天_鸡舍温度-平均_MEAN,320.4810899091363
"(-inf, 25.35)",38,0.2814814814814815,32,6,0.15789473684210525,0.28768207245178085,0.021309783144576357,0.002654575222826489,W3_21-23天_鸡舍温度-平均_MEAN,302.86633451593434
"[25.35, 26.35)",71,0.5259259259259259,51,20,0.28169014084507044,-0.45020100194955576,0.12088730607904737,0.014984580355801538,W3_21-23天_鸡舍温度-平均_MEAN,326.6711612399501
"[26.35, inf)",26,0.1925925925925926,25,1,0.038461538461538464,1.8325814637483102,0.356335284617727,0.039197973300070604,W3_21-23天_鸡舍温度-平均_MEAN,329.3220760804397
,135,1.0,108,27,0.2,,0.49853237384135074,0.05683712887869863,W3_21-23天_鸡舍温度-平均_MEAN,320.4810899091363
