Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"(-inf, 65.70)",146,0.5367647058823529,108,38,0.2602739726027397,-0.3280191009101545,0.0633776327355523,0.0078868773349117,W3_0-2天_湿度内部平均_MEAN,0.0538680844311846
"[65.70, 68.05)",27,0.0992647058823529,26,1,0.037037037037037,1.8855323697134936,0.1916339140731016,0.020936869030209,W3_0-2天_湿度内部平均_MEAN,0.0454420815422319
"[68.05, 71.00)",28,0.1029411764705882,25,3,0.1071428571428571,0.7476993678921025,0.0453568782868774,0.0055411268688047,W3_0-2天_湿度内部平均_MEAN,0.0465355170384432
"[71.00, inf)",71,0.2610294117647059,58,13,0.1830985915492957,0.122929484776894,0.0038006686118704,0.0004747846647976,W3_0-2天_湿度内部平均_MEAN,0.0482659060901076
,272,1.0,217,55,0.2022058823529411,,0.3041690937074017,0.0348396578987229,W3_0-2天_湿度内部平均_MEAN,0.0508145233017178
"[-inf, 68.00)",87,0.3198529411764705,63,24,0.2758620689655172,-0.4074832722644014,0.0595092872691119,0.0073876204582365,W3_3-5天_湿度内部平均_MEAN,0.0554359340392719
"[68.00, 70.45)",28,0.1029411764705882,27,1,0.0357142857142857,1.9232726976963408,0.204332616730537,0.0222141520307098,W3_3-5天_湿度内部平均_MEAN,0.0424400466145202
"[70.45, inf)",157,0.5772058823529411,127,30,0.1910828025477707,0.0704255364884474,0.0028028596423973,0.0003502850696018,W3_3-5天_湿度内部平均_MEAN,0.0497471514104716
,272,1.0,217,55,0.2022058823529411,,0.2666447636420464,0.029952057558548,W3_3-5天_湿度内部平均_MEAN,0.0508145233017178
"(-inf, 74.50)",112,0.4117647058823529,82,30,0.2678571428571428,-0.3670423027058909,0.061506879380962,0.007645491205268,W3_9-11天_湿度内部平均_MEAN,0.053866717271489
"[74.50, 84.40)",111,0.4080882352941176,90,21,0.1891891891891892,0.0827230642988534,0.0027239350037242,0.0003403948244303,W3_9-11天_湿度内部平均_MEAN,0.04877495477365
"[84.40, inf)",49,0.1801470588235294,45,4,0.0816326530612244,1.0478039603424407,0.1410826111663428,0.0168704263203434,W3_9-11天_湿度内部平均_MEAN,0.0484583270160275
,272,1.0,217,55,0.2022058823529411,,0.205313425551029,0.0248563123500417,W3_9-11天_湿度内部平均_MEAN,0.0508145233017178
"[-inf, 73.40)",101,0.3713235294117647,71,30,0.297029702970297,-0.5110816729288284,0.1115515507314283,0.0137941393441897,W3_12-14天_湿度内部平均_MEAN,0.054028056336105
"[73.40, 77.25)",18,0.0661764705882353,16,2,0.1111111111111111,0.7068773733718473,0.0264153589043857,0.0032348473433757,W3_12-14天_湿度内部平均_MEAN,0.0490796587407229
"[77.25, 79.45)",23,0.0845588235294117,22,1,0.0434782608695652,1.7184782850503273,0.1429785452077901,0.015953997106524,W3_12-14天_湿度内部平均_MEAN,0.0428505569024476
"[79.45, 83.70)",40,0.1470588235294117,34,6,0.15,0.3620368870801177,0.0172297404157106,0.0021420320443931,W3_12-14天_湿度内部平均_MEAN,0.0478183758092003
"[83.70, inf)",90,0.3308823529411764,74,16,0.1777777777777777,0.1589122026564,0.0079622536395917,0.0009942357781145,W3_12-14天_湿度内部平均_MEAN,0.0509220549962593
,272,1.0,217,55,0.2022058823529411,,0.3061374488989066,0.036119251616597,W3_12-14天_湿度内部平均_MEAN,0.0508145233017179
"[-inf, 80.15)",161,0.5919117647058824,123,38,0.2360248447204969,-0.1979659726619569,0.0245653628414208,0.0034425933236594,W3_15-17天_湿度内部平均_MEAN,0.0521864287456142
"[80.15, 86.30)",66,0.2426470588235294,60,6,0.0909090909090909,0.9300209246860572,0.1556918146227685,0.0221685622402696,W3_15-17天_湿度内部平均_MEAN,0.0458341145125705
"[86.30, inf)",45,0.1654411764705882,34,11,0.2444444444444444,-0.2440989164901978,0.0105738701152436,0.0013184620695841,W3_15-17天_湿度内部平均_MEAN,0.0532107500487493
,272,1.0,217,55,0.2022058823529411,,0.190831047579433,0.0269296176335131,W3_15-17天_湿度内部平均_MEAN,0.0508145233017178
"[-inf, 64.45)",39,0.1433823529411764,34,5,0.1282051282051282,0.5443584438740723,0.0358040534931836,0.0044210539118639,W3_18-20天_湿度内部平均_MEAN,0.0510109214758661
"[64.45, 67.65)",18,0.0661764705882353,17,1,0.0555555555555555,1.4606491757482274,0.0878714795297215,0.0101010768949114,W3_18-20天_湿度内部平均_MEAN,0.0432855257396417
"[67.65, inf)",215,0.7904411764705882,166,49,0.227906976744186,-0.1523966780620719,0.0191916386365558,0.0023966360586507,W3_18-20天_湿度内部平均_MEAN,0.0514092322660229
,272,1.0,217,55,0.2022058823529411,,0.142867171659461,0.016918766865426,W3_18-20天_湿度内部平均_MEAN,0.0508145233017178
"[-inf, 87.45)",236,0.8676470588235294,183,53,0.2245762711864407,-0.1333699290186895,0.0160468553054744,0.0035972709344383,W3_21-23天_湿度内部平均_MEAN,0.0515242576297653
